  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----
2458539.461111  2019-02-24T23:04:00   -90.00000  321.103   -1.175  0.628727  1.485732   29.677   18.332  17.64
2458539.502778  2019-02-25T00:04:00   -89.95833  321.160   -1.157  0.628098  1.485215   29.686   18.319  17.64
2458539.544444  2019-02-25T01:04:00   -89.91667  321.216   -1.138  0.627468  1.484699   29.696   18.305  17.64
2458539.586111  2019-02-25T02:04:00   -89.87500  321.273   -1.120  0.626838  1.484183   29.706   18.291  17.63
2458539.627778  2019-02-25T03:04:00   -89.83333  321.330   -1.102  0.626207  1.483667   29.715   18.278  17.63
2458539.669444  2019-02-25T04:04:00   -89.79167  321.387   -1.084  0.625575  1.483151   29.725   18.264  17.63
2458539.711111  2019-02-25T05:04:00   -89.75000  321.444   -1.065  0.624943  1.482635   29.734   18.250  17.63
2458539.752778  2019-02-25T06:04:00   -89.70833  321.501   -1.047  0.624310  1.482118   29.744   18.236  17.62
2458539.794444  2019-02-25T07:04:00   -89.66667  321.558   -1.029  0.623676  1.481602   29.753   18.222  17.62
2458539.836111  2019-02-25T08:04:00   -89.62500  321.615   -1.011  0.623042  1.481086   29.762   18.208  17.62
2458539.877778  2019-02-25T09:04:00   -89.58333  321.672   -0.992  0.622408  1.480569   29.772   18.194  17.62
2458539.919444  2019-02-25T10:04:00   -89.54167  321.729   -0.974  0.621773  1.480053   29.781   18.180  17.61
2458539.961111  2019-02-25T11:04:00   -89.50000  321.786   -0.956  0.621137  1.479537   29.790   18.166  17.61
2458540.002778  2019-02-25T12:04:00   -89.45833  321.844   -0.937  0.620500  1.479020   29.800   18.152  17.61
2458540.044444  2019-02-25T13:04:00   -89.41667  321.901   -0.919  0.619863  1.478504   29.809   18.138  17.61
2458540.086111  2019-02-25T14:04:00   -89.37500  321.958   -0.901  0.619225  1.477987   29.818   18.123  17.60
2458540.127778  2019-02-25T15:04:00   -89.33333  322.016   -0.883  0.618587  1.477471   29.827   18.109  17.60
2458540.169444  2019-02-25T16:04:00   -89.29167  322.073   -0.864  0.617948  1.476954   29.836   18.095  17.60
2458540.211111  2019-02-25T17:04:00   -89.25000  322.131   -0.846  0.617309  1.476438   29.845   18.080  17.59
2458540.252778  2019-02-25T18:04:00   -89.20833  322.189   -0.828  0.616669  1.475921   29.854   18.066  17.59
2458540.294444  2019-02-25T19:04:00   -89.16667  322.246   -0.809  0.616028  1.475405   29.863   18.051  17.59
2458540.336111  2019-02-25T20:04:00   -89.12500  322.304   -0.791  0.615387  1.474888   29.872   18.037  17.59
2458540.377778  2019-02-25T21:04:00   -89.08333  322.362   -0.773  0.614745  1.474371   29.881   18.022  17.58
2458540.419444  2019-02-25T22:04:00   -89.04167  322.420   -0.754  0.614102  1.473855   29.890   18.008  17.58
2458540.461111  2019-02-25T23:04:00   -89.00000  322.478   -0.736  0.613459  1.473338   29.899   17.993  17.58
2458540.502778  2019-02-26T00:04:00   -88.95833  322.536   -0.718  0.612815  1.472821   29.908   17.978  17.57
2458540.544444  2019-02-26T01:04:00   -88.91667  322.594   -0.699  0.612171  1.472305   29.916   17.963  17.57
2458540.586111  2019-02-26T02:04:00   -88.87500  322.652   -0.681  0.611526  1.471788   29.925   17.948  17.57
2458540.627778  2019-02-26T03:04:00   -88.83333  322.710   -0.663  0.610880  1.471271   29.934   17.933  17.57
2458540.669444  2019-02-26T04:04:00   -88.79167  322.768   -0.644  0.610234  1.470754   29.942   17.919  17.56
2458540.711111  2019-02-26T05:04:00   -88.75000  322.827   -0.626  0.609587  1.470238   29.951   17.903  17.56
2458540.752778  2019-02-26T06:04:00   -88.70833  322.885   -0.608  0.608939  1.469721   29.959   17.888  17.56
2458540.794444  2019-02-26T07:04:00   -88.66667  322.943   -0.589  0.608291  1.469204   29.968   17.873  17.56
2458540.836111  2019-02-26T08:04:00   -88.62500  323.002   -0.571  0.607643  1.468687   29.976   17.858  17.55
2458540.877778  2019-02-26T09:04:00   -88.58333  323.060   -0.552  0.606993  1.468170   29.985   17.843  17.55
2458540.919444  2019-02-26T10:04:00   -88.54167  323.119   -0.534  0.606343  1.467653   29.993   17.828  17.55
2458540.961111  2019-02-26T11:04:00   -88.50000  323.177   -0.516  0.605693  1.467136   30.001   17.812  17.54
2458541.002778  2019-02-26T12:04:00   -88.45833  323.236   -0.497  0.605041  1.466619   30.010   17.797  17.54
2458541.044444  2019-02-26T13:04:00   -88.41667  323.295   -0.479  0.604390  1.466102   30.018   17.782  17.54
2458541.086111  2019-02-26T14:04:00   -88.37500  323.354   -0.461  0.603737  1.465585   30.026   17.766  17.54
2458541.127778  2019-02-26T15:04:00   -88.33333  323.413   -0.442  0.603084  1.465068   30.034   17.751  17.53
2458541.169444  2019-02-26T16:04:00   -88.29167  323.472   -0.424  0.602430  1.464551   30.042   17.735  17.53
2458541.211111  2019-02-26T17:04:00   -88.25000  323.531   -0.405  0.601776  1.464034   30.051   17.719  17.53
2458541.252778  2019-02-26T18:04:00   -88.20833  323.590   -0.387  0.601121  1.463517   30.059   17.704  17.52
2458541.294444  2019-02-26T19:04:00   -88.16667  323.649   -0.369  0.600466  1.463000   30.067   17.688  17.52
2458541.336111  2019-02-26T20:04:00   -88.12500  323.708   -0.350  0.599809  1.462482   30.074   17.672  17.52
2458541.377778  2019-02-26T21:04:00   -88.08333  323.767   -0.332  0.599153  1.461965   30.082   17.656  17.51
2458541.419444  2019-02-26T22:04:00   -88.04167  323.826   -0.313  0.598495  1.461448   30.090   17.640  17.51
2458541.461111  2019-02-26T23:04:00   -88.00000  323.886   -0.295  0.597837  1.460931   30.098   17.625  17.51
2458541.502778  2019-02-27T00:04:00   -87.95833  323.945   -0.276  0.597178  1.460413   30.106   17.609  17.51
2458541.544444  2019-02-27T01:04:00   -87.91667  324.005   -0.258  0.596519  1.459896   30.114   17.593  17.50
2458541.586111  2019-02-27T02:04:00   -87.87500  324.064   -0.240  0.595859  1.459379   30.121   17.576  17.50
2458541.627778  2019-02-27T03:04:00   -87.83333  324.124   -0.221  0.595199  1.458862   30.129   17.560  17.50
2458541.669444  2019-02-27T04:04:00   -87.79167  324.184   -0.203  0.594538  1.458344   30.136   17.544  17.49
2458541.711111  2019-02-27T05:04:00   -87.75000  324.243   -0.184  0.593876  1.457827   30.144   17.528  17.49
2458541.752778  2019-02-27T06:04:00   -87.70833  324.303   -0.166  0.593213  1.457309   30.151   17.512  17.49
2458541.794444  2019-02-27T07:04:00   -87.66667  324.363   -0.147  0.592550  1.456792   30.159   17.495  17.49
2458541.836111  2019-02-27T08:04:00   -87.62500  324.423   -0.129  0.591886  1.456275   30.166   17.479  17.48
2458541.877778  2019-02-27T09:04:00   -87.58333  324.483   -0.111  0.591222  1.455757   30.174   17.462  17.48
2458541.919444  2019-02-27T10:04:00   -87.54167  324.543   -0.092  0.590557  1.455240   30.181   17.446  17.48
2458541.961111  2019-02-27T11:04:00   -87.50000  324.603   -0.074  0.589892  1.454722   30.188   17.429  17.47
2458542.002778  2019-02-27T12:04:00   -87.45833  324.663   -0.055  0.589225  1.454205   30.195   17.413  17.47
2458542.044444  2019-02-27T13:04:00   -87.41667  324.723   -0.037  0.588558  1.453687   30.203   17.396  17.47
