  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag   Rates
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----  ------
2459816.916667  2022-08-25T10:00:00   -90.08333  208.655  -17.170  0.930795  0.784744   71.632   60.912  23.45    0.03
2459816.958333  2022-08-25T11:00:00   -90.04167  208.677  -17.183  0.930517  0.784501   71.657   60.897  23.45    0.03
2459817.000000  2022-08-25T12:00:00   -90.00000  208.700  -17.196  0.930239  0.784257   71.682   60.882  23.45    0.03
2459817.041667  2022-08-25T13:00:00   -89.95833  208.722  -17.209  0.929961  0.784014   71.707   60.867  23.45    0.03
2459817.083333  2022-08-25T14:00:00   -89.91667  208.745  -17.221  0.929683  0.783770   71.732   60.852  23.44    0.03
2459817.125000  2022-08-25T15:00:00   -89.87500  208.768  -17.234  0.929405  0.783526   71.757   60.837  23.44    0.03
2459817.166667  2022-08-25T16:00:00   -89.83333  208.790  -17.247  0.929127  0.783282   71.782   60.822  23.44    0.03
2459817.208333  2022-08-25T17:00:00   -89.79167  208.813  -17.260  0.928849  0.783037   71.807   60.807  23.44    0.03
2459817.250000  2022-08-25T18:00:00   -89.75000  208.836  -17.273  0.928572  0.782792   71.832   60.792  23.44    0.03
2459817.291667  2022-08-25T19:00:00   -89.70833  208.858  -17.286  0.928294  0.782547   71.857   60.777  23.44    0.03
2459817.333333  2022-08-25T20:00:00   -89.66667  208.881  -17.299  0.928017  0.782301   71.882   60.762  23.44    0.03
2459817.375000  2022-08-25T21:00:00   -89.62500  208.904  -17.312  0.927740  0.782056   71.907   60.747  23.44    0.03
2459817.416667  2022-08-25T22:00:00   -89.58333  208.926  -17.325  0.927463  0.781810   71.932   60.732  23.44    0.03
2459817.458333  2022-08-25T23:00:00   -89.54167  208.949  -17.337  0.927186  0.781563   71.957   60.717  23.44    0.03
2459817.500000  2022-08-26T00:00:00   -89.50000  208.972  -17.350  0.926909  0.781317   71.983   60.702  23.44    0.03
2459817.541667  2022-08-26T01:00:00   -89.45833  208.994  -17.363  0.926632  0.781070   72.008   60.687  23.44    0.03
2459817.583333  2022-08-26T02:00:00   -89.41667  209.017  -17.376  0.926356  0.780823   72.033   60.672  23.44    0.03
2459817.625000  2022-08-26T03:00:00   -89.37500  209.040  -17.389  0.926080  0.780575   72.058   60.657  23.44    0.03
2459817.666667  2022-08-26T04:00:00   -89.33333  209.063  -17.402  0.925803  0.780327   72.083   60.642  23.44    0.03
2459817.708333  2022-08-26T05:00:00   -89.29167  209.085  -17.415  0.925527  0.780079   72.109   60.627  23.44    0.03
2459817.750000  2022-08-26T06:00:00   -89.25000  209.108  -17.428  0.925251  0.779831   72.134   60.612  23.44    0.03
2459817.791667  2022-08-26T07:00:00   -89.20833  209.131  -17.441  0.924975  0.779583   72.159   60.597  23.44    0.03
2459817.833333  2022-08-26T08:00:00   -89.16667  209.154  -17.454  0.924700  0.779334   72.185   60.582  23.44    0.03
2459817.875000  2022-08-26T09:00:00   -89.12500  209.176  -17.467  0.924424  0.779085   72.210   60.567  23.43    0.03
2459817.916667  2022-08-26T10:00:00   -89.08333  209.199  -17.480  0.924148  0.778835   72.235   60.552  23.43    0.03
2459817.958333  2022-08-26T11:00:00   -89.04167  209.222  -17.492  0.923873  0.778585   72.261   60.537  23.43    0.03
2459818.000000  2022-08-26T12:00:00   -89.00000  209.245  -17.505  0.923598  0.778335   72.286   60.522  23.43    0.03
2459818.041667  2022-08-26T13:00:00   -88.95833  209.268  -17.518  0.923323  0.778085   72.312   60.507  23.43    0.03
2459818.083333  2022-08-26T14:00:00   -88.91667  209.290  -17.531  0.923048  0.777835   72.337   60.493  23.43    0.03
2459818.125000  2022-08-26T15:00:00   -88.87500  209.313  -17.544  0.922773  0.777584   72.363   60.478  23.43    0.03
2459818.166667  2022-08-26T16:00:00   -88.83333  209.336  -17.557  0.922498  0.777333   72.388   60.463  23.43    0.03
2459818.208333  2022-08-26T17:00:00   -88.79167  209.359  -17.570  0.922224  0.777081   72.414   60.448  23.43    0.03
2459818.250000  2022-08-26T18:00:00   -88.75000  209.382  -17.583  0.921949  0.776830   72.439   60.433  23.43    0.03
2459818.291667  2022-08-26T19:00:00   -88.70833  209.405  -17.596  0.921675  0.776578   72.465   60.418  23.43    0.03
2459818.333333  2022-08-26T20:00:00   -88.66667  209.427  -17.609  0.921401  0.776326   72.491   60.403  23.43    0.03
2459818.375000  2022-08-26T21:00:00   -88.62500  209.450  -17.622  0.921127  0.776073   72.516   60.388  23.43    0.03
2459818.416667  2022-08-26T22:00:00   -88.58333  209.473  -17.635  0.920853  0.775820   72.542   60.374  23.43    0.03
2459818.458333  2022-08-26T23:00:00   -88.54167  209.496  -17.648  0.920579  0.775567   72.568   60.359  23.43    0.03
2459818.500000  2022-08-27T00:00:00   -88.50000  209.519  -17.661  0.920306  0.775314   72.593   60.344  23.43    0.03
2459818.541667  2022-08-27T01:00:00   -88.45833  209.542  -17.674  0.920032  0.775060   72.619   60.329  23.43    0.03
2459818.583333  2022-08-27T02:00:00   -88.41667  209.565  -17.687  0.919759  0.774807   72.645   60.314  23.43    0.03
2459818.625000  2022-08-27T03:00:00   -88.37500  209.588  -17.700  0.919486  0.774552   72.671   60.299  23.43    0.03
2459818.666667  2022-08-27T04:00:00   -88.33333  209.611  -17.713  0.919212  0.774298   72.696   60.285  23.43    0.03
2459818.708333  2022-08-27T05:00:00   -88.29167  209.634  -17.725  0.918940  0.774043   72.722   60.270  23.42    0.03
2459818.750000  2022-08-27T06:00:00   -88.25000  209.657  -17.738  0.918667  0.773788   72.748   60.255  23.42    0.03
2459818.791667  2022-08-27T07:00:00   -88.20833  209.680  -17.751  0.918394  0.773533   72.774   60.240  23.42    0.03
2459818.833333  2022-08-27T08:00:00   -88.16667  209.703  -17.764  0.918122  0.773277   72.800   60.226  23.42    0.03
2459818.875000  2022-08-27T09:00:00   -88.12500  209.726  -17.777  0.917849  0.773022   72.826   60.211  23.42    0.03
2459818.916667  2022-08-27T10:00:00   -88.08333  209.749  -17.790  0.917577  0.772765   72.852   60.196  23.42    0.03
2459818.958333  2022-08-27T11:00:00   -88.04167  209.772  -17.803  0.917305  0.772509   72.878   60.181  23.42    0.03
2459819.000000  2022-08-27T12:00:00   -88.00000  209.795  -17.816  0.917033  0.772252   72.904   60.166  23.42    0.03
2459819.041667  2022-08-27T13:00:00   -87.95833  209.818  -17.829  0.916761  0.771995   72.930   60.152  23.42    0.03
2459819.083333  2022-08-27T14:00:00   -87.91667  209.841  -17.842  0.916489  0.771738   72.956   60.137  23.42    0.03
2459819.125000  2022-08-27T15:00:00   -87.87500  209.864  -17.855  0.916218  0.771481   72.982   60.122  23.42    0.03
2459819.166667  2022-08-27T16:00:00   -87.83333  209.887  -17.868  0.915946  0.771223   73.008   60.107  23.42    0.03
2459819.208333  2022-08-27T17:00:00   -87.79167  209.910  -17.881  0.915675  0.770965   73.034   60.093  23.42    0.03
2459819.250000  2022-08-27T18:00:00   -87.75000  209.933  -17.894  0.915404  0.770706   73.060   60.078  23.42    0.03
2459819.291667  2022-08-27T19:00:00   -87.70833  209.956  -17.907  0.915133  0.770448   73.086   60.063  23.42    0.03
2459819.333333  2022-08-27T20:00:00   -87.66667  209.979  -17.920  0.914862  0.770189   73.113   60.049  23.42    0.03
2459819.375000  2022-08-27T21:00:00   -87.62500  210.002  -17.933  0.914591  0.769930   73.139   60.034  23.42    0.03
2459819.416667  2022-08-27T22:00:00   -87.58333  210.025  -17.946  0.914321  0.769670   73.165   60.019  23.42    0.03
2459819.458333  2022-08-27T23:00:00   -87.54167  210.048  -17.959  0.914050  0.769411   73.191   60.005  23.42    0.03
2459819.500000  2022-08-28T00:00:00   -87.50000  210.071  -17.972  0.913780  0.769151   73.218   59.990  23.42    0.03
2459819.541667  2022-08-28T01:00:00   -87.45833  210.094  -17.985  0.913510  0.768890   73.244   59.975  23.41    0.03
2459819.583333  2022-08-28T02:00:00   -87.41667  210.118  -17.998  0.913240  0.768630   73.270   59.960  23.41    0.03
2459819.625000  2022-08-28T03:00:00   -87.37500  210.141  -18.011  0.912970  0.768369   73.297   59.946  23.41    0.03
2459819.666667  2022-08-28T04:00:00   -87.33333  210.164  -18.024  0.912700  0.768108   73.323   59.931  23.41    0.03
2459819.708333  2022-08-28T05:00:00   -87.29167  210.187  -18.037  0.912431  0.767846   73.349   59.917  23.41    0.03
2459819.750000  2022-08-28T06:00:00   -87.25000  210.210  -18.050  0.912161  0.767585   73.376   59.902  23.41    0.03
2459819.791667  2022-08-28T07:00:00   -87.20833  210.233  -18.063  0.911892  0.767323   73.402   59.887  23.41    0.03
2459819.833333  2022-08-28T08:00:00   -87.16667  210.256  -18.076  0.911623  0.767060   73.429   59.873  23.41    0.03
2459819.875000  2022-08-28T09:00:00   -87.12500  210.280  -18.089  0.911354  0.766798   73.455   59.858  23.41    0.03
