  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag   Rates
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----  ------
2459437.666667  2021-08-11T04:00:00   -89.33333  181.220   -2.487  0.713618  0.869521   78.941   43.710  25.42    0.04
2459437.708333  2021-08-11T05:00:00   -89.29167  181.251   -2.506  0.713464  0.869045   78.981   43.706  25.42    0.04
2459437.750000  2021-08-11T06:00:00   -89.25000  181.282   -2.524  0.713310  0.868568   79.021   43.702  25.42    0.04
2459437.791667  2021-08-11T07:00:00   -89.20833  181.313   -2.542  0.713157  0.868092   79.061   43.698  25.42    0.04
2459437.833333  2021-08-11T08:00:00   -89.16667  181.344   -2.561  0.713003  0.867615   79.101   43.694  25.42    0.04
2459437.875000  2021-08-11T09:00:00   -89.12500  181.375   -2.579  0.712850  0.867138   79.141   43.690  25.42    0.04
2459437.916667  2021-08-11T10:00:00   -89.08333  181.407   -2.598  0.712697  0.866660   79.182   43.686  25.42    0.04
2459437.958333  2021-08-11T11:00:00   -89.04167  181.438   -2.616  0.712545  0.866183   79.222   43.682  25.42    0.04
2459438.000000  2021-08-11T12:00:00   -89.00000  181.469   -2.634  0.712392  0.865705   79.262   43.678  25.42    0.04
2459438.041667  2021-08-11T13:00:00   -88.95833  181.500   -2.653  0.712240  0.865227   79.303   43.674  25.42    0.04
2459438.083333  2021-08-11T14:00:00   -88.91667  181.531   -2.671  0.712089  0.864748   79.343   43.670  25.42    0.04
2459438.125000  2021-08-11T15:00:00   -88.87500  181.562   -2.690  0.711937  0.864270   79.384   43.666  25.42    0.04
2459438.166667  2021-08-11T16:00:00   -88.83333  181.593   -2.708  0.711786  0.863791   79.424   43.662  25.42    0.04
2459438.208333  2021-08-11T17:00:00   -88.79167  181.624   -2.726  0.711635  0.863313   79.465   43.658  25.42    0.04
2459438.250000  2021-08-11T18:00:00   -88.75000  181.655   -2.745  0.711484  0.862833   79.505   43.654  25.42    0.04
2459438.291667  2021-08-11T19:00:00   -88.70833  181.686   -2.763  0.711334  0.862354   79.546   43.650  25.42    0.04
2459438.333333  2021-08-11T20:00:00   -88.66667  181.718   -2.782  0.711183  0.861875   79.586   43.646  25.42    0.04
2459438.375000  2021-08-11T21:00:00   -88.62500  181.749   -2.800  0.711033  0.861395   79.627   43.642  25.42    0.04
