  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag   Rates
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----  ------
2460846.821526  2025-06-20T07:42:59   -90.02083  162.019   -7.193  1.037718  0.518249   73.088   77.705  22.76    0.02
2460846.863193  2025-06-20T08:42:59   -89.97917  162.031   -7.203  1.037486  0.518140   73.114   77.682  22.76    0.02
2460846.904859  2025-06-20T09:42:59   -89.93750  162.043   -7.214  1.037254  0.518030   73.140   77.658  22.76    0.02
2460846.946526  2025-06-20T10:42:59   -89.89583  162.054   -7.224  1.037022  0.517920   73.166   77.635  22.76    0.02
2460846.988193  2025-06-20T11:42:59   -89.85417  162.066   -7.234  1.036789  0.517811   73.192   77.611  22.76    0.02
2460847.029859  2025-06-20T12:42:59   -89.81250  162.078   -7.244  1.036557  0.517700   73.218   77.588  22.76    0.02
2460847.071526  2025-06-20T13:42:59   -89.77083  162.090   -7.255  1.036326  0.517590   73.244   77.565  22.76    0.02
2460847.113193  2025-06-20T14:42:59   -89.72917  162.102   -7.265  1.036094  0.517480   73.270   77.541  22.76    0.02
2460847.154859  2025-06-20T15:42:59   -89.68750  162.114   -7.275  1.035862  0.517369   73.296   77.518  22.76    0.02
2460847.196526  2025-06-20T16:42:59   -89.64583  162.126   -7.286  1.035631  0.517258   73.322   77.494  22.76    0.02
2460847.238193  2025-06-20T17:42:59   -89.60417  162.138   -7.296  1.035399  0.517147   73.348   77.471  22.76    0.02
2460847.279859  2025-06-20T18:42:59   -89.56250  162.150   -7.306  1.035168  0.517035   73.374   77.448  22.76    0.02
2460847.321526  2025-06-20T19:42:59   -89.52083  162.162   -7.317  1.034936  0.516924   73.400   77.424  22.76    0.02
2460847.363193  2025-06-20T20:42:59   -89.47917  162.174   -7.327  1.034705  0.516812   73.426   77.401  22.76    0.02
2460847.404859  2025-06-20T21:42:59   -89.43750  162.186   -7.337  1.034474  0.516700   73.452   77.377  22.76    0.02
2460847.446526  2025-06-20T22:42:59   -89.39583  162.198   -7.347  1.034243  0.516588   73.478   77.354  22.76    0.02
2460847.488193  2025-06-20T23:42:59   -89.35417  162.210   -7.358  1.034012  0.516476   73.504   77.331  22.76    0.02
2460847.529859  2025-06-21T00:42:59   -89.31250  162.222   -7.368  1.033781  0.516363   73.530   77.307  22.76    0.02
2460847.571526  2025-06-21T01:42:59   -89.27083  162.234   -7.379  1.033551  0.516250   73.556   77.284  22.76    0.02
2460847.613193  2025-06-21T02:42:59   -89.22917  162.246   -7.389  1.033320  0.516137   73.583   77.261  22.76    0.02
2460847.654859  2025-06-21T03:42:59   -89.18750  162.258   -7.399  1.033090  0.516024   73.609   77.238  22.76    0.02
2460847.696526  2025-06-21T04:42:59   -89.14583  162.270   -7.410  1.032859  0.515911   73.635   77.214  22.76    0.02
2460847.738193  2025-06-21T05:42:59   -89.10417  162.282   -7.420  1.032629  0.515797   73.661   77.191  22.76    0.02
2460847.779859  2025-06-21T06:42:59   -89.06250  162.294   -7.430  1.032399  0.515683   73.687   77.168  22.76    0.02
2460847.821526  2025-06-21T07:42:59   -89.02083  162.306   -7.441  1.032169  0.515569   73.713   77.145  22.76    0.02
2460847.863193  2025-06-21T08:42:59   -88.97917  162.318   -7.451  1.031939  0.515455   73.739   77.121  22.76    0.02
2460847.904859  2025-06-21T09:42:59   -88.93750  162.331   -7.461  1.031709  0.515341   73.765   77.098  22.76    0.02
2460847.946526  2025-06-21T10:42:59   -88.89583  162.343   -7.472  1.031479  0.515226   73.792   77.075  22.76    0.02
