  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag   Rates
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----  ------
2460938.729167  2025-09-20T05:30:00   -98.27083  221.709  -12.202  1.969396  2.530392   21.507   45.964  12.84    0.02
2460938.770833  2025-09-20T06:30:00   -98.22917  221.688  -12.197  1.968308  2.530297   21.496   45.902  12.84    0.02
2460938.812500  2025-09-20T07:30:00   -98.18750  221.667  -12.192  1.967219  2.530201   21.484   45.840  12.84    0.02
2460938.854167  2025-09-20T08:30:00   -98.14583  221.645  -12.187  1.966132  2.530106   21.473   45.778  12.83    0.02
2460938.895833  2025-09-20T09:30:00   -98.10417  221.624  -12.182  1.965045  2.530010   21.461   45.716  12.83    0.02
2460938.937500  2025-09-20T10:30:00   -98.06250  221.603  -12.177  1.963958  2.529914   21.449   45.654  12.83    0.02
2460938.979167  2025-09-20T11:30:00   -98.02083  221.581  -12.172  1.962872  2.529818   21.438   45.592  12.82    0.02
2460939.020833  2025-09-20T12:30:00   -97.97917  221.560  -12.167  1.961786  2.529722   21.426   45.530  12.82    0.02
2460939.062500  2025-09-20T13:30:00   -97.93750  221.539  -12.162  1.960701  2.529625   21.414   45.468  12.82    0.02
2460939.104167  2025-09-20T14:30:00   -97.89583  221.517  -12.157  1.959617  2.529529   21.403   45.406  12.81    0.02
2460939.145833  2025-09-20T15:30:00   -97.85417  221.496  -12.152  1.958533  2.529432   21.391   45.344  12.81    0.02
2460939.187500  2025-09-20T16:30:00   -97.81250  221.475  -12.147  1.957450  2.529335   21.379   45.282  12.81    0.02
2460939.229167  2025-09-20T17:30:00   -97.77083  221.453  -12.142  1.956367  2.529239   21.367   45.220  12.80    0.02
2460939.270833  2025-09-20T18:30:00   -97.72917  221.432  -12.137  1.955284  2.529142   21.355   45.158  12.80    0.02
2460939.312500  2025-09-20T19:30:00   -97.68750  221.411  -12.132  1.954202  2.529044   21.343   45.096  12.80    0.02
2460939.354167  2025-09-20T20:30:00   -97.64583  221.389  -12.127  1.953121  2.528947   21.331   45.034  12.79    0.02
2460939.395833  2025-09-20T21:30:00   -97.60417  221.368  -12.122  1.952040  2.528850   21.319   44.972  12.79    0.02
2460939.437500  2025-09-20T22:30:00   -97.56250  221.347  -12.117  1.950960  2.528752   21.307   44.910  12.79    0.02
2460939.479167  2025-09-20T23:30:00   -97.52083  221.326  -12.112  1.949880  2.528655   21.295   44.848  12.78    0.02
2460939.520833  2025-09-21T00:30:00   -97.47917  221.304  -12.107  1.948801  2.528557   21.283   44.786  12.78    0.02
2460939.562500  2025-09-21T01:30:00   -97.43750  221.283  -12.102  1.947723  2.528459   21.270   44.724  12.78    0.02
2460939.604167  2025-09-21T02:30:00   -97.39583  221.262  -12.097  1.946644  2.528361   21.258   44.662  12.77    0.02
2460939.645833  2025-09-21T03:30:00   -97.35417  221.241  -12.092  1.945567  2.528263   21.246   44.600  12.77    0.02
2460939.687500  2025-09-21T04:30:00   -97.31250  221.219  -12.087  1.944490  2.528164   21.233   44.538  12.77    0.02
2460939.729167  2025-09-21T05:30:00   -97.27083  221.198  -12.082  1.943413  2.528066   21.221   44.476  12.77    0.02
2460939.770833  2025-09-21T06:30:00   -97.22917  221.177  -12.077  1.942337  2.527967   21.209   44.414  12.76    0.02
2460939.812500  2025-09-21T07:30:00   -97.18750  221.156  -12.072  1.941262  2.527868   21.196   44.352  12.76    0.02
2460939.854167  2025-09-21T08:30:00   -97.14583  221.135  -12.067  1.940187  2.527769   21.184   44.290  12.76    0.02
2460939.895833  2025-09-21T09:30:00   -97.10417  221.113  -12.062  1.939113  2.527670   21.171   44.228  12.75    0.02
2460939.937500  2025-09-21T10:30:00   -97.06250  221.092  -12.057  1.938039  2.527571   21.158   44.167  12.75    0.02
2460939.979167  2025-09-21T11:30:00   -97.02083  221.071  -12.052  1.936966  2.527472   21.146   44.105  12.75    0.02
2460940.020833  2025-09-21T12:30:00   -96.97917  221.050  -12.047  1.935893  2.527372   21.133   44.043  12.74    0.02
2460940.062500  2025-09-21T13:30:00   -96.93750  221.029  -12.042  1.934821  2.527273   21.120   43.981  12.74    0.02
2460940.104167  2025-09-21T14:30:00   -96.89583  221.007  -12.037  1.933749  2.527173   21.108   43.919  12.74    0.02
2460940.145833  2025-09-21T15:30:00   -96.85417  220.986  -12.032  1.932678  2.527073   21.095   43.857  12.73    0.02
2460940.187500  2025-09-21T16:30:00   -96.81250  220.965  -12.027  1.931608  2.526973   21.082   43.795  12.73    0.02
2460940.229167  2025-09-21T17:30:00   -96.77083  220.944  -12.022  1.930538  2.526873   21.069   43.733  12.73    0.02
2460940.270833  2025-09-21T18:30:00   -96.72917  220.923  -12.017  1.929469  2.526772   21.056   43.671  12.72    0.02
2460940.312500  2025-09-21T19:30:00   -96.68750  220.902  -12.012  1.928400  2.526672   21.043   43.610  12.72    0.02
2460940.354167  2025-09-21T20:30:00   -96.64583  220.880  -12.007  1.927332  2.526571   21.030   43.548  12.72    0.02
2460940.395833  2025-09-21T21:30:00   -96.60417  220.859  -12.002  1.926264  2.526470   21.017   43.486  12.71    0.02
2460940.437500  2025-09-21T22:30:00   -96.56250  220.838  -11.997  1.925197  2.526369   21.004   43.424  12.71    0.02
2460940.479167  2025-09-21T23:30:00   -96.52083  220.817  -11.992  1.924130  2.526268   20.990   43.362  12.71    0.02
2460940.520833  2025-09-22T00:30:00   -96.47917  220.796  -11.987  1.923064  2.526167   20.977   43.300  12.70    0.02
2460940.562500  2025-09-22T01:30:00   -96.43750  220.775  -11.982  1.921999  2.526066   20.964   43.239  12.70    0.02
2460940.604167  2025-09-22T02:30:00   -96.39583  220.754  -11.977  1.920934  2.525964   20.951   43.177  12.70    0.02
2460940.645833  2025-09-22T03:30:00   -96.35417  220.733  -11.972  1.919869  2.525862   20.937   43.115  12.69    0.02
2460940.687500  2025-09-22T04:30:00   -96.31250  220.712  -11.967  1.918806  2.525760   20.924   43.053  12.69    0.02
2460940.729167  2025-09-22T05:30:00   -96.27083  220.690  -11.961  1.917742  2.525658   20.911   42.991  12.69    0.02
2460940.770833  2025-09-22T06:30:00   -96.22917  220.669  -11.956  1.916680  2.525556   20.897   42.929  12.68    0.02
2460940.812500  2025-09-22T07:30:00   -96.18750  220.648  -11.951  1.915618  2.525454   20.884   42.868  12.68    0.02
2460940.854167  2025-09-22T08:30:00   -96.14583  220.627  -11.946  1.914556  2.525351   20.870   42.806  12.68    0.02
2460940.895833  2025-09-22T09:30:00   -96.10417  220.606  -11.941  1.913495  2.525248   20.856   42.744  12.68    0.02
2460940.937500  2025-09-22T10:30:00   -96.06250  220.585  -11.936  1.912435  2.525145   20.843   42.682  12.67    0.02
2460940.979167  2025-09-22T11:30:00   -96.02083  220.564  -11.931  1.911375  2.525042   20.829   42.620  12.67    0.02
2460941.020833  2025-09-22T12:30:00   -95.97917  220.543  -11.926  1.910316  2.524939   20.815   42.559  12.67    0.02
2460941.062500  2025-09-22T13:30:00   -95.93750  220.522  -11.921  1.909257  2.524836   20.801   42.497  12.66    0.02
2460941.104167  2025-09-22T14:30:00   -95.89583  220.501  -11.916  1.908199  2.524732   20.788   42.435  12.66    0.02
2460941.145833  2025-09-22T15:30:00   -95.85417  220.480  -11.911  1.907142  2.524629   20.774   42.373  12.66    0.02
2460941.187500  2025-09-22T16:30:00   -95.81250  220.459  -11.906  1.906085  2.524525   20.760   42.311  12.65    0.02
2460941.229167  2025-09-22T17:30:00   -95.77083  220.438  -11.901  1.905028  2.524421   20.746   42.250  12.65    0.02
2460941.270833  2025-09-22T18:30:00   -95.72917  220.417  -11.896  1.903972  2.524317   20.732   42.188  12.65    0.02
2460941.312500  2025-09-22T19:30:00   -95.68750  220.396  -11.891  1.902917  2.524212   20.718   42.126  12.64    0.02
2460941.354167  2025-09-22T20:30:00   -95.64583  220.375  -11.886  1.901863  2.524108   20.704   42.064  12.64    0.02
2460941.395833  2025-09-22T21:30:00   -95.60417  220.354  -11.881  1.900809  2.524003   20.690   42.003  12.64    0.02
2460941.437500  2025-09-22T22:30:00   -95.56250  220.333  -11.876  1.899755  2.523898   20.675   41.941  12.63    0.02
2460941.479167  2025-09-22T23:30:00   -95.52083  220.312  -11.871  1.898702  2.523793   20.661   41.879  12.63    0.02
2460941.520833  2025-09-23T00:30:00   -95.47917  220.291  -11.866  1.897650  2.523688   20.647   41.817  12.63    0.02
2460941.562500  2025-09-23T01:30:00   -95.43750  220.270  -11.861  1.896598  2.523582   20.633   41.756  12.62    0.02
2460941.604167  2025-09-23T02:30:00   -95.39583  220.249  -11.856  1.895547  2.523477   20.618   41.694  12.62    0.02
2460941.645833  2025-09-23T03:30:00   -95.35417  220.228  -11.851  1.894497  2.523371   20.604   41.632  12.62    0.02
2460941.687500  2025-09-23T04:30:00   -95.31250  220.207  -11.846  1.893447  2.523265   20.589   41.570  12.61    0.02
2460941.729167  2025-09-23T05:30:00   -95.27083  220.186  -11.841  1.892397  2.523159   20.575   41.509  12.61    0.02
2460941.770833  2025-09-23T06:30:00   -95.22917  220.165  -11.836  1.891349  2.523053   20.560   41.447  12.61    0.02
