  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----
2459189.541667  2020-12-06T01:00:00   -90.45833  169.532   -7.514  0.979543  0.270739   83.287   80.877  19.51
2459189.583333  2020-12-06T02:00:00   -90.41667  169.541   -7.525  0.979670  0.270725   83.260   80.905  19.51
2459189.625000  2020-12-06T03:00:00   -90.37500  169.551   -7.535  0.979797  0.270710   83.233   80.934  19.51
2459189.666667  2020-12-06T04:00:00   -90.33333  169.561   -7.545  0.979925  0.270695   83.206   80.963  19.51
2459189.708333  2020-12-06T05:00:00   -90.29167  169.571   -7.556  0.980052  0.270680   83.179   80.991  19.51
2459189.750000  2020-12-06T06:00:00   -90.25000  169.581   -7.566  0.980179  0.270665   83.152   81.020  19.51
2459189.791667  2020-12-06T07:00:00   -90.20833  169.590   -7.576  0.980306  0.270650   83.125   81.049  19.51
2459189.833333  2020-12-06T08:00:00   -90.16667  169.600   -7.587  0.980433  0.270635   83.098   81.077  19.51
2459189.875000  2020-12-06T09:00:00   -90.12500  169.610   -7.597  0.980560  0.270619   83.071   81.106  19.51
2459189.916667  2020-12-06T10:00:00   -90.08333  169.620   -7.607  0.980687  0.270603   83.044   81.134  19.51
2459189.958333  2020-12-06T11:00:00   -90.04167  169.630   -7.618  0.980814  0.270588   83.018   81.163  19.51
2459190.000000  2020-12-06T12:00:00   -90.00000  169.639   -7.628  0.980941  0.270572   82.991   81.192  19.50
2459190.041667  2020-12-06T13:00:00   -89.95833  169.649   -7.638  0.981068  0.270556   82.964   81.220  19.50
2459190.083333  2020-12-06T14:00:00   -89.91667  169.659   -7.649  0.981195  0.270540   82.937   81.249  19.50
2459190.125000  2020-12-06T15:00:00   -89.87500  169.669   -7.659  0.981321  0.270523   82.910   81.277  19.50
2459190.166667  2020-12-06T16:00:00   -89.83333  169.679   -7.670  0.981448  0.270507   82.884   81.306  19.50
2459190.208333  2020-12-06T17:00:00   -89.79167  169.689   -7.680  0.981575  0.270490   82.857   81.335  19.50
2459190.250000  2020-12-06T18:00:00   -89.75000  169.698   -7.690  0.981701  0.270474   82.830   81.363  19.50
2459190.291667  2020-12-06T19:00:00   -89.70833  169.708   -7.701  0.981828  0.270457   82.804   81.392  19.50
2459190.333333  2020-12-06T20:00:00   -89.66667  169.718   -7.711  0.981954  0.270440   82.777   81.420  19.50
2459190.375000  2020-12-06T21:00:00   -89.62500  169.728   -7.722  0.982081  0.270423   82.750   81.449  19.50
2459190.416667  2020-12-06T22:00:00   -89.58333  169.738   -7.732  0.982207  0.270406   82.724   81.477  19.50
2459190.458333  2020-12-06T23:00:00   -89.54167  169.748   -7.742  0.982333  0.270388   82.697   81.506  19.50
2459190.500000  2020-12-07T00:00:00   -89.50000  169.758   -7.753  0.982459  0.270371   82.670   81.534  19.49
2459190.541667  2020-12-07T01:00:00   -89.45833  169.767   -7.763  0.982586  0.270353   82.644   81.563  19.49
2459190.583333  2020-12-07T02:00:00   -89.41667  169.777   -7.773  0.982712  0.270336   82.617   81.592  19.49
2459190.625000  2020-12-07T03:00:00   -89.37500  169.787   -7.784  0.982838  0.270318   82.591   81.620  19.49
2459190.666667  2020-12-07T04:00:00   -89.33333  169.797   -7.794  0.982964  0.270300   82.564   81.649  19.49
2459190.708333  2020-12-07T05:00:00   -89.29167  169.807   -7.805  0.983090  0.270282   82.537   81.677  19.49
2459190.750000  2020-12-07T06:00:00   -89.25000  169.817   -7.815  0.983216  0.270263   82.511   81.706  19.49
2459190.791667  2020-12-07T07:00:00   -89.20833  169.827   -7.825  0.983342  0.270245   82.484   81.734  19.49
2459190.833333  2020-12-07T08:00:00   -89.16667  169.837   -7.836  0.983468  0.270227   82.458   81.763  19.49
2459190.875000  2020-12-07T09:00:00   -89.12500  169.846   -7.846  0.983594  0.270208   82.431   81.791  19.49
2459190.916667  2020-12-07T10:00:00   -89.08333  169.856   -7.857  0.983719  0.270189   82.405   81.820  19.49
2459190.958333  2020-12-07T11:00:00   -89.04167  169.866   -7.867  0.983845  0.270170   82.378   81.848  19.48
2459191.000000  2020-12-07T12:00:00   -89.00000  169.876   -7.877  0.983971  0.270151   82.352   81.877  19.48
2459191.041667  2020-12-07T13:00:00   -88.95833  169.886   -7.888  0.984096  0.270132   82.326   81.905  19.48
2459191.083333  2020-12-07T14:00:00   -88.91667  169.896   -7.898  0.984222  0.270113   82.299   81.934  19.48
2459191.125000  2020-12-07T15:00:00   -88.87500  169.906   -7.909  0.984347  0.270093   82.273   81.962  19.48
2459191.166667  2020-12-07T16:00:00   -88.83333  169.916   -7.919  0.984473  0.270074   82.246   81.991  19.48
2459191.208333  2020-12-07T17:00:00   -88.79167  169.926   -7.930  0.984598  0.270054   82.220   82.019  19.48
2459191.250000  2020-12-07T18:00:00   -88.75000  169.935   -7.940  0.984723  0.270034   82.194   82.048  19.48
2459191.291667  2020-12-07T19:00:00   -88.70833  169.945   -7.950  0.984849  0.270014   82.167   82.076  19.48
2459191.333333  2020-12-07T20:00:00   -88.66667  169.955   -7.961  0.984974  0.269994   82.141   82.105  19.48
2459191.375000  2020-12-07T21:00:00   -88.62500  169.965   -7.971  0.985099  0.269974   82.115   82.133  19.48
2459191.416667  2020-12-07T22:00:00   -88.58333  169.975   -7.982  0.985224  0.269954   82.088   82.162  19.48
2459191.458333  2020-12-07T23:00:00   -88.54167  169.985   -7.992  0.985349  0.269933   82.062   82.190  19.47
2459191.500000  2020-12-08T00:00:00   -88.50000  169.995   -8.003  0.985474  0.269913   82.036   82.219  19.47
2459191.541667  2020-12-08T01:00:00   -88.45833  170.005   -8.013  0.985599  0.269892   82.009   82.247  19.47
2459191.583333  2020-12-08T02:00:00   -88.41667  170.015   -8.023  0.985724  0.269871   81.983   82.276  19.47
2459191.625000  2020-12-08T03:00:00   -88.37500  170.025   -8.034  0.985849  0.269850   81.957   82.304  19.47
2459191.666667  2020-12-08T04:00:00   -88.33333  170.035   -8.044  0.985974  0.269829   81.931   82.333  19.47
2459191.708333  2020-12-08T05:00:00   -88.29167  170.045   -8.055  0.986099  0.269808   81.904   82.361  19.47
2459191.750000  2020-12-08T06:00:00   -88.25000  170.054   -8.065  0.986223  0.269786   81.878   82.389  19.47
2459191.791667  2020-12-08T07:00:00   -88.20833  170.064   -8.076  0.986348  0.269765   81.852   82.418  19.47
2459191.833333  2020-12-08T08:00:00   -88.16667  170.074   -8.086  0.986473  0.269743   81.826   82.446  19.47
2459191.875000  2020-12-08T09:00:00   -88.12500  170.084   -8.096  0.986597  0.269721   81.800   82.475  19.47
2459191.916667  2020-12-08T10:00:00   -88.08333  170.094   -8.107  0.986722  0.269699   81.773   82.503  19.47
2459191.958333  2020-12-08T11:00:00   -88.04167  170.104   -8.117  0.986846  0.269677   81.747   82.532  19.46
2459192.000000  2020-12-08T12:00:00   -88.00000  170.114   -8.128  0.986971  0.269655   81.721   82.560  19.46
2459192.041667  2020-12-08T13:00:00   -87.95833  170.124   -8.138  0.987095  0.269633   81.695   82.589  19.46
2459192.083333  2020-12-08T14:00:00   -87.91667  170.134   -8.149  0.987219  0.269610   81.669   82.617  19.46
2459192.125000  2020-12-08T15:00:00   -87.87500  170.144   -8.159  0.987344  0.269588   81.643   82.645  19.46
2459192.166667  2020-12-08T16:00:00   -87.83333  170.154   -8.170  0.987468  0.269565   81.617   82.674  19.46
2459192.208333  2020-12-08T17:00:00   -87.79167  170.164   -8.180  0.987592  0.269542   81.591   82.702  19.46
2459192.250000  2020-12-08T18:00:00   -87.75000  170.174   -8.190  0.987716  0.269519   81.565   82.731  19.46
2459192.291667  2020-12-08T19:00:00   -87.70833  170.184   -8.201  0.987840  0.269496   81.539   82.759  19.46
2459192.333333  2020-12-08T20:00:00   -87.66667  170.194   -8.211  0.987964  0.269473   81.513   82.788  19.46
2459192.375000  2020-12-08T21:00:00   -87.62500  170.204   -8.222  0.988088  0.269449   81.487   82.816  19.46
2459192.416667  2020-12-08T22:00:00   -87.58333  170.214   -8.232  0.988212  0.269426   81.461   82.844  19.45
2459192.458333  2020-12-08T23:00:00   -87.54167  170.223   -8.243  0.988336  0.269402   81.435   82.873  19.45
2459192.500000  2020-12-09T00:00:00   -87.50000  170.233   -8.253  0.988459  0.269379   81.409   82.901  19.45
2459192.541667  2020-12-09T01:00:00   -87.45833  170.243   -8.264  0.988583  0.269355   81.383   82.930  19.45
2459192.583333  2020-12-09T02:00:00   -87.41667  170.253   -8.274  0.988707  0.269331   81.357   82.958  19.45
2459192.625000  2020-12-09T03:00:00   -87.37500  170.263   -8.285  0.988830  0.269307   81.331   82.986  19.45
2459192.666667  2020-12-09T04:00:00   -87.33333  170.273   -8.295  0.988954  0.269282   81.305   83.015  19.45
2459192.708333  2020-12-09T05:00:00   -87.29167  170.283   -8.306  0.989077  0.269258   81.279   83.043  19.45
2459192.750000  2020-12-09T06:00:00   -87.25000  170.293   -8.316  0.989201  0.269233   81.253   83.072  19.45
2459192.791667  2020-12-09T07:00:00   -87.20833  170.303   -8.326  0.989324  0.269209   81.227   83.100  19.45
2459192.833333  2020-12-09T08:00:00   -87.16667  170.313   -8.337  0.989448  0.269184   81.201   83.128  19.45
2459192.875000  2020-12-09T09:00:00   -87.12500  170.323   -8.347  0.989571  0.269159   81.175   83.157  19.45
2459192.916667  2020-12-09T10:00:00   -87.08333  170.333   -8.358  0.989694  0.269134   81.150   83.185  19.44
2459192.958333  2020-12-09T11:00:00   -87.04167  170.343   -8.368  0.989817  0.269109   81.124   83.214  19.44
2459193.000000  2020-12-09T12:00:00   -87.00000  170.353   -8.379  0.989940  0.269084   81.098   83.242  19.44
2459193.041667  2020-12-09T13:00:00   -86.95833  170.363   -8.389  0.990064  0.269058   81.072   83.270  19.44
2459193.083333  2020-12-09T14:00:00   -86.91667  170.373   -8.400  0.990187  0.269033   81.046   83.299  19.44
2459193.125000  2020-12-09T15:00:00   -86.87500  170.383   -8.410  0.990310  0.269007   81.020   83.327  19.44
2459193.166667  2020-12-09T16:00:00   -86.83333  170.393   -8.421  0.990432  0.268981   80.995   83.356  19.44
2459193.208333  2020-12-09T17:00:00   -86.79167  170.403   -8.431  0.990555  0.268955   80.969   83.384  19.44
2459193.250000  2020-12-09T18:00:00   -86.75000  170.413   -8.442  0.990678  0.268929   80.943   83.412  19.44
2459193.291667  2020-12-09T19:00:00   -86.70833  170.423   -8.452  0.990801  0.268903   80.917   83.441  19.44
2459193.333333  2020-12-09T20:00:00   -86.66667  170.433   -8.463  0.990924  0.268876   80.892   83.469  19.44
2459193.375000  2020-12-09T21:00:00   -86.62500  170.443   -8.473  0.991046  0.268850   80.866   83.497  19.43
2459193.416667  2020-12-09T22:00:00   -86.58333  170.453   -8.484  0.991169  0.268823   80.840   83.526  19.43
2459193.458333  2020-12-09T23:00:00   -86.54167  170.463   -8.494  0.991291  0.268797   80.815   83.554  19.43
2459193.500000  2020-12-10T00:00:00   -86.50000  170.473   -8.505  0.991414  0.268770   80.789   83.583  19.43
2459193.541667  2020-12-10T01:00:00   -86.45833  170.482   -8.515  0.991536  0.268743   80.763   83.611  19.43
2459193.583333  2020-12-10T02:00:00   -86.41667  170.492   -8.526  0.991659  0.268716   80.738   83.639  19.43
2459193.625000  2020-12-10T03:00:00   -86.37500  170.502   -8.536  0.991781  0.268689   80.712   83.668  19.43
2459193.666667  2020-12-10T04:00:00   -86.33333  170.512   -8.547  0.991903  0.268661   80.686   83.696  19.43
2459193.708333  2020-12-10T05:00:00   -86.29167  170.522   -8.557  0.992025  0.268634   80.661   83.724  19.43
2459193.750000  2020-12-10T06:00:00   -86.25000  170.532   -8.568  0.992148  0.268606   80.635   83.753  19.43
2459193.791667  2020-12-10T07:00:00   -86.20833  170.542   -8.578  0.992270  0.268578   80.609   83.781  19.43
2459193.833333  2020-12-10T08:00:00   -86.16667  170.552   -8.589  0.992392  0.268550   80.584   83.810  19.43
2459193.875000  2020-12-10T09:00:00   -86.12500  170.562   -8.599  0.992514  0.268522   80.558   83.838  19.42
2459193.916667  2020-12-10T10:00:00   -86.08333  170.572   -8.610  0.992636  0.268494   80.533   83.866  19.42
2459193.958333  2020-12-10T11:00:00   -86.04167  170.582   -8.620  0.992758  0.268466   80.507   83.895  19.42
2459194.000000  2020-12-10T12:00:00   -86.00000  170.592   -8.631  0.992879  0.268438   80.482   83.923  19.42
2459194.041667  2020-12-10T13:00:00   -85.95833  170.602   -8.641  0.993001  0.268409   80.456   83.951  19.42
2459194.083333  2020-12-10T14:00:00   -85.91667  170.612   -8.652  0.993123  0.268380   80.430   83.980  19.42
2459194.125000  2020-12-10T15:00:00   -85.87500  170.622   -8.662  0.993245  0.268352   80.405   84.008  19.42
2459194.166667  2020-12-10T16:00:00   -85.83333  170.632   -8.673  0.993366  0.268323   80.379   84.036  19.42
2459194.208333  2020-12-10T17:00:00   -85.79167  170.642   -8.683  0.993488  0.268294   80.354   84.065  19.42
2459194.250000  2020-12-10T18:00:00   -85.75000  170.652   -8.694  0.993609  0.268265   80.328   84.093  19.42
2459194.291667  2020-12-10T19:00:00   -85.70833  170.662   -8.704  0.993731  0.268235   80.303   84.122  19.42
2459194.333333  2020-12-10T20:00:00   -85.66667  170.672   -8.715  0.993852  0.268206   80.277   84.150  19.41
2459194.375000  2020-12-10T21:00:00   -85.62500  170.682   -8.725  0.993973  0.268176   80.252   84.178  19.41
2459194.416667  2020-12-10T22:00:00   -85.58333  170.692   -8.736  0.994095  0.268147   80.227   84.207  19.41
2459194.458333  2020-12-10T23:00:00   -85.54167  170.702   -8.746  0.994216  0.268117   80.201   84.235  19.41
2459194.500000  2020-12-11T00:00:00   -85.50000  170.712   -8.757  0.994337  0.268087   80.176   84.263  19.41
2459194.541667  2020-12-11T01:00:00   -85.45833  170.722   -8.767  0.994458  0.268057   80.150   84.292  19.41
2459194.583333  2020-12-11T02:00:00   -85.41667  170.732   -8.778  0.994579  0.268027   80.125   84.320  19.41
2459194.625000  2020-12-11T03:00:00   -85.37500  170.742   -8.788  0.994700  0.267996   80.099   84.348  19.41
2459194.666667  2020-12-11T04:00:00   -85.33333  170.752   -8.799  0.994821  0.267966   80.074   84.377  19.41
2459194.708333  2020-12-11T05:00:00   -85.29167  170.761   -8.809  0.994942  0.267935   80.049   84.405  19.41
2459194.750000  2020-12-11T06:00:00   -85.25000  170.771   -8.820  0.995063  0.267905   80.023   84.433  19.41
2459194.791667  2020-12-11T07:00:00   -85.20833  170.781   -8.830  0.995184  0.267874   79.998   84.462  19.40
2459194.833333  2020-12-11T08:00:00   -85.16667  170.791   -8.841  0.995304  0.267843   79.973   84.490  19.40
2459194.875000  2020-12-11T09:00:00   -85.12500  170.801   -8.851  0.995425  0.267812   79.947   84.519  19.40
2459194.916667  2020-12-11T10:00:00   -85.08333  170.811   -8.862  0.995546  0.267781   79.922   84.547  19.40
2459194.958333  2020-12-11T11:00:00   -85.04167  170.821   -8.872  0.995666  0.267749   79.897   84.575  19.40
2459195.000000  2020-12-11T12:00:00   -85.00000  170.831   -8.883  0.995787  0.267718   79.871   84.604  19.40
2459195.041667  2020-12-11T13:00:00   -84.95833  170.841   -8.894  0.995907  0.267686   79.846   84.632  19.40
2459195.083333  2020-12-11T14:00:00   -84.91667  170.851   -8.904  0.996028  0.267655   79.821   84.660  19.40
2459195.125000  2020-12-11T15:00:00   -84.87500  170.861   -8.915  0.996148  0.267623   79.796   84.689  19.40
2459195.166667  2020-12-11T16:00:00   -84.83333  170.871   -8.925  0.996268  0.267591   79.770   84.717  19.40
2459195.208333  2020-12-11T17:00:00   -84.79167  170.881   -8.936  0.996388  0.267559   79.745   84.745  19.40
2459195.250000  2020-12-11T18:00:00   -84.75000  170.891   -8.946  0.996509  0.267527   79.720   84.774  19.39
2459195.291667  2020-12-11T19:00:00   -84.70833  170.901   -8.957  0.996629  0.267494   79.695   84.802  19.39
2459195.333333  2020-12-11T20:00:00   -84.66667  170.911   -8.967  0.996749  0.267462   79.669   84.830  19.39
