  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag   Rates
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----  ------
2462150.416667  2029-01-13T22:00:00   -88.58333  189.926  -15.502  1.084181  0.336445   63.886   98.228  18.97    0.02
2462150.458333  2029-01-13T23:00:00   -88.54167  189.945  -15.513  1.084229  0.336306   63.875   98.249  18.97    0.02
2462150.500000  2029-01-14T00:00:00   -88.50000  189.964  -15.524  1.084277  0.336167   63.864   98.269  18.97    0.02
2462150.541667  2029-01-14T01:00:00   -88.45833  189.983  -15.535  1.084325  0.336028   63.853   98.289  18.97    0.02
2462150.583333  2029-01-14T02:00:00   -88.41667  190.002  -15.546  1.084373  0.335888   63.842   98.310  18.97    0.02
2462150.625000  2029-01-14T03:00:00   -88.37500  190.021  -15.557  1.084421  0.335749   63.831   98.330  18.97    0.02
2462150.666667  2029-01-14T04:00:00   -88.33333  190.040  -15.569  1.084469  0.335609   63.820   98.350  18.97    0.02
2462150.708333  2029-01-14T05:00:00   -88.29167  190.059  -15.580  1.084517  0.335470   63.809   98.371  18.97    0.02
2462150.750000  2029-01-14T06:00:00   -88.25000  190.078  -15.591  1.084564  0.335330   63.798   98.391  18.97    0.02
2462150.791667  2029-01-14T07:00:00   -88.20833  190.097  -15.602  1.084612  0.335190   63.787   98.412  18.96    0.02
2462150.833333  2029-01-14T08:00:00   -88.16667  190.117  -15.613  1.084659  0.335051   63.776   98.432  18.96    0.02
2462150.875000  2029-01-14T09:00:00   -88.12500  190.136  -15.624  1.084707  0.334911   63.765   98.452  18.96    0.02
2462150.916667  2029-01-14T10:00:00   -88.08333  190.155  -15.635  1.084754  0.334771   63.754   98.473  18.96    0.02
2462150.958333  2029-01-14T11:00:00   -88.04167  190.174  -15.647  1.084801  0.334631   63.743   98.493  18.96    0.02
2462151.000000  2029-01-14T12:00:00   -88.00000  190.193  -15.658  1.084848  0.334491   63.732   98.514  18.96    0.02
2462151.041667  2029-01-14T13:00:00   -87.95833  190.212  -15.669  1.084895  0.334351   63.721   98.534  18.96    0.02
2462151.083333  2029-01-14T14:00:00   -87.91667  190.231  -15.680  1.084942  0.334211   63.710   98.554  18.96    0.02
2462151.125000  2029-01-14T15:00:00   -87.87500  190.250  -15.691  1.084989  0.334070   63.700   98.575  18.95    0.02
2462151.166667  2029-01-14T16:00:00   -87.83333  190.269  -15.702  1.085036  0.333930   63.689   98.595  18.95    0.02
2462151.208333  2029-01-14T17:00:00   -87.79167  190.288  -15.713  1.085083  0.333790   63.678   98.616  18.95    0.02
2462151.250000  2029-01-14T18:00:00   -87.75000  190.307  -15.724  1.085130  0.333649   63.667   98.636  18.95    0.02
2462151.291667  2029-01-14T19:00:00   -87.70833  190.326  -15.736  1.085176  0.333509   63.656   98.657  18.95    0.02
2462151.333333  2029-01-14T20:00:00   -87.66667  190.345  -15.747  1.085223  0.333368   63.645   98.677  18.95    0.02
2462151.375000  2029-01-14T21:00:00   -87.62500  190.364  -15.758  1.085269  0.333227   63.634   98.697  18.95    0.02
2462151.416667  2029-01-14T22:00:00   -87.58333  190.383  -15.769  1.085316  0.333087   63.623   98.718  18.95    0.02
2462151.458333  2029-01-14T23:00:00   -87.54167  190.402  -15.780  1.085362  0.332946   63.612   98.738  18.95    0.02
2462151.500000  2029-01-15T00:00:00   -87.50000  190.421  -15.791  1.085408  0.332805   63.601   98.759  18.94    0.02
2462151.541667  2029-01-15T01:00:00   -87.45833  190.440  -15.802  1.085454  0.332664   63.590   98.779  18.94    0.02
2462151.583333  2029-01-15T02:00:00   -87.41667  190.459  -15.813  1.085500  0.332523   63.579   98.800  18.94    0.02
2462151.625000  2029-01-15T03:00:00   -87.37500  190.478  -15.824  1.085546  0.332382   63.568   98.820  18.94    0.02
2462151.666667  2029-01-15T04:00:00   -87.33333  190.497  -15.836  1.085592  0.332241   63.557   98.841  18.94    0.02
2462151.708333  2029-01-15T05:00:00   -87.29167  190.516  -15.847  1.085638  0.332100   63.546   98.861  18.94    0.02
2462151.750000  2029-01-15T06:00:00   -87.25000  190.535  -15.858  1.085684  0.331959   63.535   98.882  18.94    0.02
2462151.791667  2029-01-15T07:00:00   -87.20833  190.554  -15.869  1.085729  0.331817   63.524   98.902  18.94    0.02
2462151.833333  2029-01-15T08:00:00   -87.16667  190.573  -15.880  1.085775  0.331676   63.513   98.923  18.94    0.02
2462151.875000  2029-01-15T09:00:00   -87.12500  190.592  -15.891  1.085820  0.331534   63.502   98.943  18.93    0.02
2462151.916667  2029-01-15T10:00:00   -87.08333  190.611  -15.902  1.085866  0.331393   63.491   98.964  18.93    0.02
2462151.958333  2029-01-15T11:00:00   -87.04167  190.630  -15.913  1.085911  0.331251   63.480   98.984  18.93    0.02
