  Julian_Date         Date           T_from_C/A    RA       Dec        R       Delta    Phase    Elong   Vmag
--------------  -------------------  ----------  -------  -------  --------  --------  -------  -------  -----
2458755.670139  2019-09-29T04:05:00   -70.37500  140.753   23.880  2.539181  3.059719   17.669   50.278   5.57
2458755.711806  2019-09-29T05:05:00   -70.33333  140.773   23.864  2.538623  3.058835   17.677   50.295   5.57
2458755.753473  2019-09-29T06:05:00   -70.29167  140.792   23.847  2.538065  3.057951   17.685   50.313   5.57
2458755.795139  2019-09-29T07:05:00   -70.25000  140.811   23.831  2.537507  3.057068   17.694   50.330   5.57
2458755.836806  2019-09-29T08:05:00   -70.20833  140.831   23.814  2.536950  3.056184   17.702   50.347   5.57
2458755.878473  2019-09-29T09:05:00   -70.16667  140.850   23.798  2.536393  3.055301   17.710   50.364   5.57
2458755.920139  2019-09-29T10:05:00   -70.12500  140.869   23.781  2.535836  3.054418   17.719   50.382   5.57
2458755.961806  2019-09-29T11:05:00   -70.08333  140.889   23.765  2.535279  3.053535   17.727   50.399   5.57
2458756.003473  2019-09-29T12:05:00   -70.04167  140.908   23.748  2.534722  3.052652   17.736   50.416   5.56
2458756.045139  2019-09-29T13:05:00   -70.00000  140.927   23.732  2.534166  3.051769   17.744   50.433   5.56
2458756.086806  2019-09-29T14:05:00   -69.95833  140.947   23.715  2.533609  3.050886   17.752   50.451   5.56
2458756.128473  2019-09-29T15:05:00   -69.91667  140.966   23.699  2.533053  3.050004   17.761   50.468   5.56
2458756.170139  2019-09-29T16:05:00   -69.87500  140.985   23.682  2.532497  3.049121   17.769   50.485   5.56
2458756.211806  2019-09-29T17:05:00   -69.83333  141.005   23.666  2.531942  3.048239   17.777   50.502   5.56
2458756.253473  2019-09-29T18:05:00   -69.79167  141.024   23.649  2.531386  3.047357   17.786   50.520   5.56
2458756.295139  2019-09-29T19:05:00   -69.75000  141.044   23.633  2.530831  3.046475   17.794   50.537   5.56
2458756.336806  2019-09-29T20:05:00   -69.70833  141.063   23.616  2.530276  3.045593   17.802   50.554   5.56
2458756.378473  2019-09-29T21:05:00   -69.66667  141.082   23.600  2.529721  3.044712   17.811   50.571   5.56
2458756.420139  2019-09-29T22:05:00   -69.62500  141.102   23.583  2.529166  3.043830   17.819   50.589   5.56
2458756.461806  2019-09-29T23:05:00   -69.58333  141.121   23.567  2.528612  3.042949   17.828   50.606   5.56
2458756.503473  2019-09-30T00:05:00   -69.54167  141.140   23.550  2.528058  3.042068   17.836   50.623   5.56
2458756.545139  2019-09-30T01:05:00   -69.50000  141.160   23.534  2.527504  3.041186   17.844   50.640   5.55
2458756.586806  2019-09-30T02:05:00   -69.45833  141.179   23.517  2.526950  3.040306   17.853   50.658   5.55
2458756.628473  2019-09-30T03:05:00   -69.41667  141.198   23.500  2.526396  3.039425   17.861   50.675   5.55
2458756.670139  2019-09-30T04:05:00   -69.37500  141.218   23.484  2.525843  3.038544   17.869   50.692   5.55
2458756.711806  2019-09-30T05:05:00   -69.33333  141.237   23.467  2.525289  3.037664   17.878   50.709   5.55
